Dasharo compatibility module,Test ID,Test name,Automation state,v0.1.0,v0.2.0,v0.3.0,v0.4.0,v1.0.0,v1.1.0,v1.1.1,v1.1.2
,LBT003.002,Boot Debian from Hard Disk,MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,NOT TESTED
,LBT004.001,Ubuntu LTS installation on Hard Disk,MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,LBT004.002,Boot Ubuntu From Hard Disk,MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
Dasharo compatibility: Windows booting,WBT001.001,Windows 11 installation and boot,MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,WBT002.001,Windows 10 installation and boot,MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,NOT TESTED
Dasharo compatibility: SD Card Reader,SDC001.001,SD Card reader detection (Ubuntu 22.04),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,NOT TESTED
,SDC001.002,SD Card reader detection (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,NOT TESTED
,SDC002.001,SD Card read/write (Ubuntu 22.04),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,NOT TESTED
,SDC002.002,SD Card read/write (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,NOT TESTED
Dasharo compatibility: Memory HCL,HCL001.001,Memory HCL - boot into OS (Ubuntu 22.04),MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,NOT TESTED
Dasharo security: TPM Support,TPM001.001,TPM Support (firmware),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
,TPM001.002,TPM Support (Ubuntu 22.04),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,TPM001.003,TPM Support (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,TPM002.002,Verify TPM version (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,TPM002.003,Verify TPM version (Windows 11),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,TPM003.001,Check TPM Physical Presence Interface (firmware),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,TPM003.002,Check TPM Physical Presence Interface (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,TPM003.003,Check TPM Physical Presence Interface (Windows 11),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,TPM003.004,Change active PCR banks with TPM PPI (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
