Test name,Test ID,Result,Comments
"Battery monitoring - charge level in OS (Ubuntu)",ECR001.201,PASS,
"Battery monitoring - charge level in OS (Qubes OS)",ECR001.203,PASS,
"Battery monitoring - charge level in OS (Windows)",ECR001.301,PASS,
"Battery monitoring - charging state in OS (Ubuntu)",ECR002.201,PASS,
"Battery monitoring - charging state in OS (Qubes OS)",ECR002.203,PASS,
"Battery monitoring - charging state in OS (Windows)",ECR002.301,PASS,
"Touchpad in OS - (Ubuntu)",ECR003.201,PASS,
"Touchpad in OS (Qubes OS)",ECR003.203,PASS,
"Touchpad in OS - (Windows)",ECR003.301,PASS,
"Keyboard (standard keypad) in firmware",ECR004.001,PASS,
"Keyboard (standard keypad) in OS (Ubuntu)",ECR004.201,PASS,
"Keyboard (standard keypad) in OS (Qubes OS)",ECR004.203,PASS,
"Keyboard (standard keypad) in OS (Windows)",ECR004.301,PASS,
"Keyboard (function key: play/pause) in OS (Ubuntu)",ECR005.201,PASS,
"Keyboard (function key: play/pause) in OS (Qubes OS)",ECR005.203,PASS,
"Keyboard (function key: play/pause) in OS (Windows)",ECR005.301,PASS,
"Keyboard (function key: cooling mode) in OS (Ubuntu)",ECR006.201,PASS,
"Keyboard (function key: cooling mode) in OS (Qubes OS)",ECR006.203,PASS,
"Keyboard (function key: cooling mode) in OS (Windows)",ECR006.301,PASS,
"Keyboard (function key: touchpad on/off) in OS (Ubuntu)",ECR007.201,PASS,
"Keyboard (function key: touchpad on/off) in OS (Qubes OS)",ECR007.203,PASS,
"Keyboard (function key: touchpad on/off) in OS (Windows)",ECR007.301,PASS,
"Keyboard (function key: display on/off) in OS (Ubuntu)",ECR008.201,PASS,
"Keyboard (function key: display on/off) in OS (Qubes OS)",ECR008.203,PASS,
"Keyboard (function key: display on/off) in OS (Windows)",ECR008.301,PASS,
"Keyboard (function key: mute) in OS (Ubuntu)",ECR009.201,PASS,
"Keyboard (function key: mute) in OS (Qubes OS)",ECR009.203,PASS,
"Keyboard (function key: mute) in OS (Windows)",ECR009.301,PASS,
"Keyboard (function key: keyboard backlight) in OS (Ubuntu)",ECR010.201,PASS,
"Keyboard (function key: keyboard backlight) in OS (Qubes OS)",ECR010.203,PASS,
"Keyboard (function key: keyboard backlight) in OS (Windows)",ECR010.301,PASS,
"Keyboard (function key: volume down) in OS (Ubuntu)",ECR011.201,PASS,
"Keyboard (function key: volume down) in OS (Qubes OS)",ECR011.203,PASS,
"Keyboard (function key: volume down) in OS (Windows)",ECR011.301,PASS,
"Keyboard (function key: volume up) in OS (Ubuntu)",ECR012.201,PASS,
"Keyboard (function key: volume up) in OS (Qubes OS)",ECR012.203,PASS,
"Keyboard (function key: volume up) in OS (Windows)",ECR012.301,PASS,
"Keyboard (function key: display switch) in OS (Ubuntu)",ECR013.201,PASS,
"Keyboard (function key: display switch) in OS (Qubes OS)",ECR013.203,PASS,
"Keyboard (function key: display switch) in OS (Windows)",ECR013.301,PASS,
"Keyboard (function key: brightness down) in OS (Windows)",ECR014.002,PASS,
"Keyboard (function key: brightness down) in OS (Ubuntu)",ECR014.201,PASS,
"Keyboard (function key: brightness down) in OS (Qubes OS)",ECR014.203,PASS,
"Keyboard (function key: brightness up) in OS (Windows)",ECR015.002,PASS,
"Keyboard (function key: brightness up) in OS (Ubuntu)",ECR015.201,PASS,
"Keyboard (function key: brightness up) in OS (Qubes OS)",ECR015.203,PASS,
"Keyboard (function key: camera on/off) in OS (Windows)",ECR016.002,PASS,
"Keyboard (function key: camera on/off) in OS (Ubuntu)",ECR016.201,PASS,
"Keyboard (function key: camera on/off) in OS (Qubes OS)",ECR016.203,PASS,
"Keyboard (function key: flight mode) in OS (Windows)",ECR017.002,PASS,
"Keyboard (function key: flight mode) in OS (Ubuntu)",ECR017.201,PASS,
"Keyboard (function key: flight mode on/off) in OS (Qubes OS)",ECR017.203,PASS,
"Keyboard (function key: sleep) in OS (Ubuntu)",ECR018.201,PASS,
"Keyboard (function key: sleep) in OS (Qubes OS)",ECR018.203,PASS,
"Keyboard (function key: sleep) in OS (Windows)",ECR018.301,PASS,
"Buttons (button: power) in OS (Windows)",ECR019.002,PASS,
"Buttons (button: power) in OS (Ubuntu)",ECR019.201,PASS,
"Buttons (button: power) in OS (Qubes OS)",ECR019.203,PASS,
"Buttons (button: lid switch) in OS (Windows)",ECR020.002,PASS,
"Buttons (button: lid switch) in OS (Qubes OS)",ECR020.203,PASS,
"EC sync update with power adapter connected works correctly",ECR022.001,PASS,
"EC sync doesn't update with power adapter disconnected",ECR023.001,PASS,
"Permanent keyboard illumination after cold boot (Ubuntu)",ECR025.002,PASS,
"Permanent keyboard illumination after cold boot (Windows)",ECR025.003,PASS,
"Permanent keyboard illumination after cold boot (Qubes OS)",ECR025.203,PASS,
"Permanent keyboard illumination after warm boot (Ubuntu)",ECR026.002,PASS,
"Permanent keyboard illumination after warm boot (Windows)",ECR026.003,PASS,
"Permanent keyboard illumination after warm boot (Qubes OS)",ECR026.004,PASS,
"Permanent keyboard illumination after reboot (Ubuntu)",ECR027.002,PASS,
"Permanent keyboard illumination after reboot (Windows)",ECR027.003,PASS,
"Permanent keyboard illumination after reboot (Qubes OS)",ECR027.004,PASS,
"Permanent keyboard illumination after suspension (Ubuntu)",ECR028.002,PASS,
"Permanent keyboard illumination after suspension (Windows)",ECR028.003,PASS,
"Permanent keyboard illumination after suspension (Qubes OS)",ECR028.004,PASS,
"FnLock Hotkey (Ubuntu)",ECR029.001,PASS,
"FnLock Hotkey (Windows)",ECR029.002,PASS,
"FnLock Hotkey (Qubes OS)",ECR029.003,PASS,
"Charging until 98% level in OS (Ubuntu)",ECR030.001,PASS,
"Not charging between 95% and 98% in OS (Ubuntu)",ECR030.002,PASS,
"EC power button watchdog",ECR033.001,PASS,
"Soft Switch Microphone Key (Ubuntu)",ECR034.001,PASS,
"Soft Switch Microphone Key (Windows)",ECR034.002,PASS,
"Boot into UEFI OS (Ubuntu)",EFI001.201,PASS,
"Boot into UEFI OS (Windows)",EFI001.301,PASS,
"CPU fan speed measure",FAN001.201,PASS,
"All available fans are running",FAN002.201,PASS,
"Fans are turning off during suspend mode with ME Enabled",FAN003.201,PASS,
"Fans are turning off during suspend mode with ME Soft disabled",FAN004.201,PASS,
"Fans are turning off during suspend mode with ME HAP disabled",FAN005.201,PASS,
"Fast Boot Reduces Boot Time",FBT001.201,PASS,
"Fwupd Devices Detected (Ubuntu)",FWUPD001.201,PASS,
"Fwupd Devices Detected (QubesOS)",FWUPD001.203,PASS,
"Fwupd Local Firmware Update (Ubuntu)",FWUPD002.201,PASS,
"Fwupd Local Firmware Update (QubesOS)",FWUPD002.203,PASS,
"Fwupd LVFS Firmware Update (Ubuntu)",FWUPD003.201,PASS,
"Fwupd LVFS Firmware Update (QubesOS)",FWUPD003.203,NOT TESTED,"https://github.com/fwupd/fwupd/issues/9933"
"Platform hibernation and resume (Ubuntu)",HBN001.001,PASS,"https://github.com/Dasharo/dasharo-issues/issues/1501"
"Platform hibernation and resume (Windows)",HBN001.002,PASS,
"Memory HCL - boot into OS (Ubuntu)",HCL001.001,PASS,
"Ubuntu LTS installation on Hard Disk",LBT004.001,PASS,
"Boot Ubuntu From Hard Disk",LBT004.002,PASS,
"Measured Boot support (Ubuntu)",MBO001.201,PASS,
"ME disable option is available and has the correct default state",MNE001.001,PASS,
"ME disable option off works correctly (Ubuntu)",MNE002.201,PASS,
"ME disable option soft disable works correctly (Ubuntu)",MNE003.201,PASS,
"ME disable HAP bit option works correctly (Ubuntu)",MNE004.201,PASS,
"Check Intel ME version",MNE006.201,PASS,
"Wireless card detection (Ubuntu)",MWL001.201,PASS,
"Wireless card detection (Windows)",MWL001.301,PASS,
"Wi-Fi scanning (Ubuntu)",MWL002.201,PASS,
"Wi-Fi scanning (Windows)",MWL002.301,PASS,
"Bluetooth scanning (Ubuntu)",MWL003.201,PASS,
"Enable Network Boot (firmware)",NBA001.001,PASS,
"Disable Network Boot (firmware)",NBA002.001,PASS,
"NET controller after coldboot (Ubuntu)",NET001.001,PASS,
"NET controller after coldboot (Qubes OS)",NET001.002,PASS,
"NET controller after warmboot (Ubuntu)",NET002.001,PASS,
"NET controller after warmboot (Qubes OS)",NET002.002,PASS,
"Net controller after reboot (Ubuntu)",NET003.201,PASS,
"NET controller after suspend (Qubes OS) (S3)",NET004.004,PASS,
"NET controller after suspend (Ubuntu) (S0ix)",NET005.201,PASS,
"NET controller after suspend (Ubuntu) (S3)",NET006.201,PASS,
"NVMe support in firmware",NVM001.001,PASS,
"NVMe support in OS (Ubuntu)",NVM001.201,PASS,
"NVMe support in OS (Windows)",NVM001.301,PASS,
"Check Power State After Power Failure default state (firmware)",PSF001.001,PASS,
"Powered Off State Restoration Test",PSF002.001,PASS,
"Powered On State Restoration Test",PSF003.001,PASS,
"Check Password Setup option availability and default state",PSW001.001,PASS,
"Password setting mechanism correctness checking",PSW002.001,PASS,
"Attempt to log in with a correct password",PSW003.001,PASS,
"Attempt to log in with an incorrect password",PSW004.001,PASS,
"Attempt to log in with an incorrect password 3 times",PSW005.001,PASS,
"Attempt to turn off setup password functionality",PSW006.001,PASS,
"Attempt to set non-compliant password",PSW007.001,PASS,
"Attempt to set old password",PSW008.001,PASS,
"Dasharo Network Boot is available",PXE001.001,PASS,
"Dasharo network boot menu boot options order is correct",PXE002.001,PASS,
"Autoboot option is available and works correctly",PXE003.001,PASS,
"DTS option is available and works correctly",PXE004.001,PASS,
"OS installation option is available and works correctly",PXE005.001,PASS,
"iPXE shell option is available and works correctly",PXE006.001,PASS,
"F9 resets Enable USB stack option to default",RTD001.001,PASS,
