Test name,Test ID,Result,Comments
"Verify TPM Version (Windows)",TPM002.301,NOT TESTED,
"Check TPM Physical Presence Interface (firmware)",TPM003.001,NOT TESTED,
"Check TPM Physical Presence Interface (Ubuntu)",TPM003.201,NOT TESTED,
"Check TPM Physical Presence Interface (Windows)",TPM003.301,NOT TESTED,
"PCRREAD Function Verification (Ubuntu)",TPMCMD002.001,NOT TESTED,
"PCREXTEND And PCRRESET Functions (Ubuntu)",TPMCMD003.001,NOT TESTED,
"PCREXTEND And PCRRESET Functions - locality protections (Ubuntu)",TPMCMD003.002,NOT TESTED,
"PCREVENT Function (Ubuntu)",TPMCMD004.001,NOT TESTED,
"CREATEPRIMARY Function Verification (Ubuntu)",TPMCMD005.001,NOT TESTED,
"NVDEFINE and NVUNDEFINE Functions Verification (Ubuntu)",TPMCMD006.001,NOT TESTED,
"CREATE Function (Ubuntu)",TPMCMD007.001,NOT TESTED,
"CREATELOADED Function (Ubuntu)",TPMCMD007.002,NOT TESTED,
"Signing the file (Ubuntu)",TPMCMD008.001,NOT TESTED,
"Hashing the file (Ubuntu)",TPMCMD010.001,NOT TESTED,
"Performing HMAC operation on the file (Ubuntu)",TPMCMD011.001,NOT TESTED,
"USB detect and boot after coldboot",UBT001.001,NOT TESTED,
"USB detect and boot after warmboot",UBT002.001,NOT TESTED,
"USB detect and boot after system reboot",UBT003.001,NOT TESTED,
"USB detection after coldboot",UDT001.001,NOT TESTED,
"USB detection after warmboot",UDT001.002,NOT TESTED,
"USB detection after system reboot",UDT001.003,NOT TESTED,
"Manual Single Threaded CPU Benchmark (Windows) (AC)",UPP001.301,NOT TESTED,
"Manual Multi Threaded CPU Benchmark (Windows) (AC)",UPP002.301,NOT TESTED,
"USB devices detected in FW",USB001.001,NOT TESTED,
"USB devices detected by OS (Ubuntu)",USB001.201,NOT TESTED,
"USB devices detected by OS (Windows)",USB001.301,NOT TESTED,
"USB keyboard detected in FW",USB002.001,NOT TESTED,
"USB keyboard in OS (Ubuntu)",USB002.201,NOT TESTED,
