Test name,Test ID,Result,Comments
Wi-fi connection after suspension (Fedora) (S0ix),SMW005.202,PASS,
Wi-fi connection after suspension (Ubuntu) (S3),SMW006.201,PASS,
Wi-fi connection after suspension (Fedora) (S3),SMW006.202,PASS,
NVMe detection after cold boot (Ubuntu),SNV001.201,PASS,
NVMe detection after cold boot (Qubes OS),SNV001.203,PASS,
NVMe detection after warm boot (Ubuntu),SNV002.201,PASS,
NVMe detection after warm boot (Fedora),SNV002.202,PASS,
NVMe detection after warm boot (Qubes OS),SNV002.203,PASS,
NVMe detection after reboot (Ubuntu),SNV003.201,PASS,
NVMe detection after reboot (Fedora),SNV003.202,PASS,
NVMe detection after reboot (Qubes OS),SNV003.203,PASS,
NVMe detection after suspension (Ubuntu),SNV004.201,PASS,
NVMe detection after suspension (Fedora),SNV004.202,PASS,
NVMe detection after suspend (Qubes OS),SNV004.203,PASS,
2x S0ix suspend cycle (AC) (Ubuntu),SPM002.201,PASS,
2x S0ix suspend cycle (AC) (Windows),SPM002.301,PASS,
2x S3 suspend cycle (AC) (Ubuntu),SPM004.201,PASS,
2x S3 suspend cycle (AC) (Qubes OS),SPM004.203,FAIL,https://github.com/Dasharo/dasharo-issues/issues/1201#issuecomment-4990602030
2x S3 suspend cycle (AC) (Windows),SPM004.301,PASS,
2x warmboot cycle (AC) (Ubuntu),SPM006.201,PASS,
2x warmboot cycle (AC) (Qubes OS),SPM006.203,PASS,
2x warmboot cycle (AC) (Windows),SPM006.301,PASS,
Verify if no reboot occurs in the firmware,STB001.001,PASS,
Verify if no reboot occurs in the OS (Ubuntu),STB001.201,PASS,
Verify if no reboot occurs in the OS (Fedora),STB001.202,PASS,
Verify if no reboot occurs (Qubes OS),STB001.203,PASS,
Verify if no reboot occurs in the OS (Windows),STB001.301,PASS,
Verify if no unexpected boot errors appear in Linux logs (Ubuntu),STB002.201,PASS,
Verify if no unexpected boot errors appear in Linux logs (Fedora),STB002.202,PASS,
Verify if no unexpected boot errors appear in logs (Qubes OS),STB002.203,FAIL,https://github.com/Dasharo/dasharo-issues/issues/1201
USB devices detection after cold boot (Ubuntu),SUD001.201,PASS,
USB devices detection after coldboot (Qubes OS),SUD001.203,PASS,
USB devices detection after warm boot (Ubuntu),SUD002.201,PASS,
USB devices detection after warm boot (Fedora),SUD002.202,PASS,
USB devices detection after warmboot (Qubes OS),SUD002.203,PASS,
USB devices detection after reboot (Ubuntu),SUD003.201,PASS,
USB devices detection after reboot (Fedora),SUD003.202,PASS,
USB devices detection after reboot (Qubes OS),SUD003.203,PASS,
USB devices detection after suspension (Ubuntu) (S0ix),SUD005.201,PASS,
USB devices detection after suspension (Fedora) (S0ix),SUD005.202,PASS,
USB devices detection after suspension (Ubuntu) (S3),SUD006.201,PASS,
USB devices detection after suspension (Fedora) (S3),SUD006.202,PASS,
USB devices detection after suspend (Qubes OS) (S3),SUD006.203,PASS,
Platform suspend and resume (Ubuntu) (wakeup flag),SUSP001.201,PASS,
Platform suspend and resume (Qubes OS) (wakeup flag),SUSP001.203,PASS,
Platform suspend and resume (Ubuntu) (press key),SUSP002.201,PASS,
Platform suspend and resume (Qubes OS) (press key),SUSP002.203,PASS,
Platform suspend and resume (Ubuntu) (power button),SUSP003.201,PASS,
Platform suspend and resume (Qubes OS) (power button),SUSP003.203,PASS,
Platform suspend and resume (Ubuntu) (Wake-on-LAN),SUSP004.201,PASS,
Cyclic platform suspend and resume (Ubuntu) (S0ix),SUSP006.201,FAIL,https://github.com/Dasharo/dasharo-issues/issues/1870#issuecomment-4990782326
Cyclic platform suspend and resume (Fedora) (S0ix),SUSP006.202,FAIL,https://github.com/Dasharo/dasharo-issues/issues/1870#issuecomment-4990782326
Cyclic platform suspend and resume (Ubuntu) (S3),SUSP007.201,PASS,
Cyclic platform suspend and resume (Fedora) (S3),SUSP007.202,PASS,
Cyclic platform suspend and resume (Qubes OS) (S3),SUSP007.203,FAIL,https://github.com/Dasharo/dasharo-issues/issues/1201
Detect TPM after platform reboot (Ubuntu),TPD003.201,PASS,
Detect TPM after platform reboot (Fedora),TPD003.202,PASS,
Detect TPM after platform suspend (Ubuntu),TPD004.201,PASS,
Detect TPM after platform suspend (Fedora),TPD004.202,PASS,
USB detect and boot after coldboot (DTS),UBT001.211,PASS,
USB detect and boot after warmboot (DTS),UBT002.211,PASS,
USB detect and boot after system reboot (DTS),UBT003.211,PASS,
Manual Single Threaded CPU Benchmark (Windows) (AC),UPP001.301,PASS,
Manual Multi Threaded CPU Benchmark (Windows) (AC),UPP002.301,PASS,
USB devices detected in FW (EDK2 UEFI),USB001.101,PASS,
USB devices detected by OS (Ubuntu),USB001.201,PASS,
USB devices detected by OS (Fedora),USB001.202,PASS,
USB devices detected by OS (Qubes OS),USB001.203,PASS,
USB devices detected by OS (Windows),USB001.301,PASS,
USB keyboard detected in FW (UEFI Shell),USB002.106,PASS,
USB keyboard in OS (Ubuntu),USB002.201,PASS,
USB keyboard in OS (Fedora),USB002.202,PASS,
USB keyboard detected by OS (Qubes OS),USB002.203,PASS,
USB keyboard in OS (Windows),USB002.301,PASS,
Upload 1GB file on USB storage (Ubuntu),USB003.201,PASS,
Upload 1GB file on USB storage (Fedora),USB003.202,PASS,
Upload 1GB file on USB storage (Windows),USB003.301,PASS,
Windows 11 installation and boot (Windows),WBT001.301,PASS,
